city,companyShortName,education,industryField,positionName,salary,workYear
杭州,拉勾网,"
25k-35k
经验5-10年 / 本科
                    ","
                    企业服务 / D轮及以上 / 500-2000人
                ",高级数据分析师,25k-35k,"
25k-35k
经验5-10年 / 本科
                    "
杭州,微聚未来,"
30k-60k
经验5-10年 / 本科
                    ","
                    移动互联网,金融 / 不需要融资 / 500-2000人
                ",大数据开发工程师,30k-60k,"
30k-60k
经验5-10年 / 本科
                    "
杭州,天眼查,"
15k-30k
经验3-5年 / 本科
                    ","
                    数据服务 / 不需要融资 / 500-2000人
                ",大数据开发工程师,15k-30k,"
15k-30k
经验3-5年 / 本科
                    "
杭州,小米,"
25k-40k
经验5-10年 / 本科
                    ","
                    硬件 / D轮及以上 / 2000人以上
                ",大数据开发工程师,25k-40k,"
25k-40k
经验5-10年 / 本科
                    "
杭州,明略科技集团,"
20k-30k
经验3-5年 / 本科
                    ","
                    数据服务,广告营销 / D轮及以上 / 2000人以上
                ",大数据开发工程师,20k-30k,"
20k-30k
经验3-5年 / 本科
                    "
杭州,苏州精正,"
20k-40k
经验5-10年 / 本科
                    ","
                    企业服务,金融 / 不需要融资 / 少于15人
                ",大数据开发工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                    "
杭州,轻松集团,"
25k-40k
经验3-5年 / 本科
                    ","
                    移动互联网,金融 / C轮 / 500-2000人
                ",大数据开发工程师,25k-40k,"
25k-40k
经验3-5年 / 本科
                    "
杭州,玩吧,"
30k-60k
经验5-10年 / 本科
                    ","
                    社交 / B轮 / 150-500人
                ",大数据开发工程师,30k-60k,"
30k-60k
经验5-10年 / 本科
                    "
杭州,邦盛科技,"
12k-20k
经验3-5年 / 本科
                    ","
                    信息安全 / C轮 / 150-500人
                ",大数据开发工程师,12k-20k,"
12k-20k
经验3-5年 / 本科
                    "
杭州,微聚未来,"
10k-20k
经验1-3年 / 本科
                    ","
                    移动互联网,金融 / 不需要融资 / 500-2000人
                ",数据分析师,10k-20k,"
10k-20k
经验1-3年 / 本科
                    "
杭州,数美,"
15k-30k
经验应届毕业生 / 本科
                    ","
                    企业服务,数据服务 / C轮 / 150-500人
                ",大数据开发工程师,15k-30k,"
15k-30k
经验应届毕业生 / 本科
                    "
杭州,数美,"
20k-40k
经验1-3年 / 本科
                    ","
                    企业服务,数据服务 / C轮 / 150-500人
                ",大数据开发工程师,20k-40k,"
20k-40k
经验1-3年 / 本科
                    "
杭州,快手,"
25k-50k
经验3-5年 / 本科
                    ","
                    文娱丨内容 / D轮及以上 / 2000人以上
                ",资深数据分析师,25k-50k,"
25k-50k
经验3-5年 / 本科
                    "
杭州,海致,"
22k-32k
经验5-10年 / 本科
                    ","
                    移动互联网,企业服务 / C轮 / 150-500人
                ",大数据开发工程师,22k-32k,"
22k-32k
经验5-10年 / 本科
                    "
杭州,拉勾网,"
25k-35k
经验5-10年 / 本科
                    ","
                    企业服务 / D轮及以上 / 500-2000人
                ",高级数据分析师,25k-35k,"
25k-35k
经验5-10年 / 本科
                    "
